periode,date,ipc
1951-04,1951-04-01,6.343
1951-03,1951-03-01,6.233
1951-02,1951-02-01,6.086
1951-01,1951-01-01,6.013
1950-12,1950-12-01,5.94
1950-09,1950-09-01,5.72
1950-06,1950-06-01,5.39
1950-03,1950-03-01,5.426
1949-12,1949-12-01,5.28
1949-09,1949-09-01,5.06
1949-06,1949-06-01,4.876
1949-03,1949-03-01,4.986
