Code du département,Libellé du département,Inscrits,Abstentions,Votants,Blancs et nuls,Exprimés,Nuance Liste,Libellé Abrégé Liste,Nom Tête de Liste,Voix,Nuance Liste.1,Libellé Abrégé Liste.1,Nom Tête de Liste.1,Voix.1,Nuance Liste.2,Libellé Abrégé Liste.2,Nom Tête de Liste.2,Voix.2,Nuance Liste.3,Libellé Abrégé Liste.3,Nom Tête de Liste.3,Voix.3,Nuance Liste.4,Libellé Abrégé Liste.4,Nom Tête de Liste.4,Voix.4,Nuance Liste.5,Libellé Abrégé Liste.5,Nom Tête de Liste.5,Voix.5,Nuance Liste.6,Libellé Abrégé Liste.6,Nom Tête de Liste.6,Voix.6,Nuance Liste.7,Libellé Abrégé Liste.7,Nom Tête de Liste.7,Voix.7,Nuance Liste.8,Libellé Abrégé Liste.8,Nom Tête de Liste.8,Voix.8,Nuance Liste.9,Libellé Abrégé Liste.9,Nom Tête de Liste.9,Voix.9,Nuance Liste.10,Libellé Abrégé Liste.10,Nom Tête de Liste.10,Voix.10,Nuance Liste.11,Libellé Abrégé Liste.11,Nom Tête de Liste.11,Voix.11,Nuance Liste.12,Libellé Abrégé Liste.12,Nom Tête de Liste.12,Voix.12,Nuance Liste.13,Libellé Abrégé Liste.13,Nom Tête de Liste.13,Voix.13,Nuance Liste.14,Libellé Abrégé Liste.14,Nom Tête de Liste.14,Voix.14,Nuance Liste.15,Libellé Abrégé Liste.15,Nom Tête de Liste.15,Voix.15,Nuance Liste.16,Libellé Abrégé Liste.16,Nom Tête de Liste.16,Voix.16,Nuance Liste.17,Libellé Abrégé Liste.17,Nom Tête de Liste.17,Voix.17,Nuance Liste.18,Libellé Abrégé Liste.18,Nom Tête de Liste.18,Voix.18,Nuance Liste.19,Libellé Abrégé Liste.19,Nom Tête de Liste.19,Voix.19,Nuance Liste.20,Libellé Abrégé Liste.20,Nom Tête de Liste.20,Voix.20,Nuance Liste.21,Libellé Abrégé Liste.21,Nom Tête de Liste.21,Voix.21,Nuance Liste.22,Libellé Abrégé Liste.22,Nom Tête de Liste.22,Voix.22,Nuance Liste.23,Libellé Abrégé Liste.23,Nom Tête de Liste.23,Voix.23,Nuance Liste.24,Libellé Abrégé Liste.24,Nom Tête de Liste.24,Voix.24,Nuance Liste.25,Libellé Abrégé Liste.25,Nom Tête de Liste.25,Voix.25,Nuance Liste.26,Libellé Abrégé Liste.26,Nom Tête de Liste.26,Voix.26,Nuance Liste.27,Libellé Abrégé Liste.27,Nom Tête de Liste.27,Voix.27
24,DORDOGNE,304398,153156,151242,8422,142820,LXG,Liste d'extrême gauche,CHEVALIER,1203,LXG,Liste d'extrême gauche,KRIVINE,3697,LPC,Liste du Parti communiste,POLO,13540,LPS,Liste du Parti socialiste,ARIF,42259,LVE,Liste des Verts,ONESTA,10388,LRG,Liste régionaliste,LACOUR,332,LRG,Liste régionaliste,LACO,1,LCP,Liste Chasse-Pêche-Nature et Traditions,LAFITTE,4998,LDV,Liste Divers,SALADIN,390,LDV,Liste Divers,ROY,1306,LDV,Liste Divers,LANGHI,223,LDV,Liste Divers,PATRY,2,LDV,Liste Divers,MANSOURI,1,LDV,Liste Divers,BOYER,31,LDV,Liste Divers,JOUBERT,0,LDV,Liste Divers,SORDES,0.0,LDV,Liste Divers,CISSE,0.0,LDV,Liste Divers,BARITEL,0.0,LDV,Liste Divers,GARRIGUES,2767.0,LUMP,Liste Union pour un mouvement populaire,LAMASSOURE,23186.0,LUDF,Liste Union pour la démocratie française,CAVADA,16514.0,LDD,Liste divers droite,LECONTE,8035.0,LDD,Liste divers droite,ABITBOL,3003.0,LDD,Liste divers droite,SCHEIWILLER,0.0,LFN,Liste du Front national,MARTINEZ,10538.0,LXD,Liste d'extrême droite,SOUVILLE,406.0,,,,,,,,
25,DOUBS,338510,183677,154833,5096,149737,LXG,Liste d'extrême gauche,HOFFMANN,979,LXG,Liste d'extrême gauche,NIMSGERN,3659,LPC,Liste du Parti communiste,POURRE,3239,LPS,Liste du Parti socialiste,MOSCOVICI,48848,LVE,Liste des Verts,ISLER-BEGUIN,9862,LEC,Liste écologiste,WAECHTER,3299,LDV,Liste Divers,MERCK,2144,LDV,Liste Divers,SCHMITT,400,LDV,Liste Divers,ALLENBACH,90,LDV,Liste Divers,ETIENNE,68,LDV,Liste Divers,LAMBEAUX,0,LDV,Liste Divers,PICO,13,LDV,Liste Divers,ROHER ,1094,LDV,Liste Divers,MARCINEK,3125,LUMP,Liste Union pour un mouvement populaire,DAUL,28636,LUDF,Liste Union pour la démocratie française,GRIESBECK,15858.0,LDD,Liste divers droite,MONZANI,2250.0,LDD,Liste divers droite,MILLET,9406.0,LFN,Liste du Front national,GOLLNISCH,16103.0,LXD,Liste d'extrême droite,MEGRET,664.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,DROME,317887,176803,141084,4325,136759,LXG,Liste d'extrême gauche,MIRGUET,852,LXG,Liste d'extrême gauche,VACHETTA,3637,LPC,Liste du Parti communiste,GOMEZ,6187,LPS,Liste du Parti socialiste,ROCARD,41409,LVE,Liste des Verts,BENNAHMIAS,12139,LRG,Liste régionaliste,ANTHOINE,5,LCP,Liste Chasse-Pêche-Nature et Traditions,VIDAL-DAUMAS,4094,LDV,Liste Divers,GOVERNATORI,2333,LDV,Liste Divers,DELAGE,1183,LDV,Liste Divers,LAURELLI,203,LDV,Liste Divers,SANMARTIN,6,LDV,Liste Divers,KERDO,311,LDV,Liste Divers,FRAYSSE ,8,LDV,Liste Divers,AUDIC,16,LDV,Liste Divers,GARINO,417,LUMP,Liste Union pour un mouvement populaire,GROSSETETE,18149.0,LUDF,Liste Union pour la démocratie française,CORNILLET,20510.0,LDD,Liste divers droite,MARCHIANI,2230.0,LDD,Liste divers droite,LOUIS,7852.0,LDD,Liste divers droite,LALLOUETTE,5.0,LFN,Liste du Front national,LE PEN,14832.0,LXD,Liste d'extrême droite,VAUZELLE,381.0,,,,,,,,,,,,,,,,,,,,,,,,
27,EURE,381024,217771,163253,5877,157376,LXG,Liste d'extrême gauche,REITZMAN,1579,LXG,Liste d'extrême gauche,BAUDRIN,4663,LPC,Liste du Parti communiste,HENIN,6344,LPS,Liste du Parti socialiste,WEBER,43285,LVE,Liste des Verts,FLAUTRE,11121,LDG,Liste divers gauche,DUQUENNE,1596,LCP,Liste Chasse-Pêche-Nature et Traditions,VERGY,4651,LDV,Liste Divers,HUGON,8,LDV,Liste Divers,GERNIGON,37,LDV,Liste Divers,AUGER,0,LDV,Liste Divers,VAN OMMESLAEGHE,36,LDV,Liste Divers,PACAUD,310,LDV,Liste Divers,SUEUR,2867,LDV,Liste Divers,KURZYK,2194,LUMP,Liste Union pour un mouvement populaire,SAIFI,20700,LUDF,Liste Union pour la démocratie française,BOURLANGES,21717.0,LDD,Liste divers droite,BUTEL,11655.0,LDD,Liste divers droite,HERNU,3209.0,LFN,Liste du Front national,LANG,21404.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,EURE ET LOIR,279621,160807,118814,4096,114718,LXG,Liste d'extrême gauche,MAILLOT,1319,LXG,Liste d'extrême gauche,LECLERC,2814,LPC,Liste du Parti communiste,GENESTE,3658,LPS,Liste du Parti socialiste,GUY-QUINT,31432,LVE,Liste des Verts,NORMAND,6773,LCP,Liste Chasse-Pêche-Nature et Traditions,LAVERGNE,2868,LDV,Liste Divers,TONNIEAU,155,LDV,Liste Divers,TALON,1273,LDV,Liste Divers,GAUDRY,266,LDV,Liste Divers,VELASQUE,2227,LDV,Liste Divers,MORGILLO,19,LDV,Liste Divers,VILLELE DE ,13,LUMP,Liste Union pour un mouvement populaire,HORTEFEUX,20890,LUDF,Liste Union pour la démocratie française,FOURTOU,14154,LDD,Liste divers droite,PELTIER,10462,LDD,Liste divers droite,LE BAUZEC,0.0,LFN,Liste du Front national,VERDON,15902.0,LXD,Liste d'extrême droite,JAFFRES,493.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,FINISTERE,641172,347477,293695,6363,287332,LXG,Liste d'extrême gauche,DEFRANCE,6080,LXG,Liste d'extrême gauche,LE PIVERT,1725,LPC,Liste du Parti communiste,LE HYARIC,11113,LPS,Liste du Parti socialiste,POIGNANT,103855,LVE,Liste des Verts,AUBERT,22630,LDG,Liste divers gauche,LE GUEN,10953,LCP,Liste Chasse-Pêche-Nature et Traditions,SANCHEZ,3038,LDV,Liste Divers,REY-ROBERT,3346,LDV,Liste Divers,BOLEN,1830,LDV,Liste Divers,BIDOU,361,LDV,Liste Divers,LE TALLEC,169,LDV,Liste Divers,RESTIER,6,LDV,Liste Divers,DOIMI DE FRANKOPAN,35,LDV,Liste Divers,GUILLEMIN-LUGUE,14,LDV,Liste Divers,CLOPEAU,514,LUMP,Liste Union pour un mouvement populaire,BACHELOT,47255.0,LUDF,Liste Union pour la démocratie française,MORILLON,36941.0,LDD,Liste divers droite,HUNAULT,7055.0,LDD,Liste divers droite,VILLIERS DE,19072.0,LDD,Liste divers droite,MONTENOT,22.0,LFN,Liste du Front national,MARECHAL,11318.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,GARD,455192,261154,194038,9049,184989,LXG,Liste d'extrême gauche,CHEVALIER,1680,LXG,Liste d'extrême gauche,KRIVINE,5268,LPC,Liste du Parti communiste,POLO,18464,LPS,Liste du Parti socialiste,ARIF,44239,LVE,Liste des Verts,ONESTA,14128,LRG,Liste régionaliste,LACOUR,784,LRG,Liste régionaliste,LACO,10,LCP,Liste Chasse-Pêche-Nature et Traditions,LAFITTE,5058,LDV,Liste Divers,SALADIN,496,LDV,Liste Divers,ROY,1425,LDV,Liste Divers,GARRIGUES,3093,LDV,Liste Divers,BARITEL,1,LDV,Liste Divers,CISSE,0,LDV,Liste Divers,SORDES,0,LDV,Liste Divers,JOUBERT,0,LDV,Liste Divers,BOYER,9.0,LDV,Liste Divers,MANSOURI,6.0,LDV,Liste Divers,PATRY,46.0,LDV,Liste Divers,LANGHI,255.0,LUMP,Liste Union pour un mouvement populaire,LAMASSOURE,27496.0,LUDF,Liste Union pour la démocratie française,CAVADA,22326.0,LDD,Liste divers droite,LECONTE,9668.0,LDD,Liste divers droite,ABITBOL,4835.0,LDD,Liste divers droite,SCHEIWILLER,0.0,LFN,Liste du Front national,MARTINEZ,24877.0,LXD,Liste d'extrême droite,SOUVILLE,825.0,,,,,,,,
31,HAUTE GARONNE,733384,396514,336870,11455,325415,LXG,Liste d'extrême gauche,CHEVALIER,2451,LXG,Liste d'extrême gauche,KRIVINE,8591,LPC,Liste du Parti communiste,POLO,16438,LPS,Liste du Parti socialiste,ARIF,116183,LVE,Liste des Verts,ONESTA,35883,LRG,Liste régionaliste,LACOUR,1132,LRG,Liste régionaliste,LACO,4,LCP,Liste Chasse-Pêche-Nature et Traditions,LAFITTE,5477,LDV,Liste Divers,SALADIN,754,LDV,Liste Divers,BARITEL,34,LDV,Liste Divers,CISSE,0,LDV,Liste Divers,JOUBERT,2,LDV,Liste Divers,SORDES,38,LDV,Liste Divers,BOYER,35,LDV,Liste Divers,MANSOURI,22,LDV,Liste Divers,PATRY,16.0,LDV,Liste Divers,ROY,2233.0,LDV,Liste Divers,LANGHI,401.0,LDV,Liste Divers,GARRIGUES,4862.0,LUMP,Liste Union pour un mouvement populaire,LAMASSOURE,44173.0,LUDF,Liste Union pour la démocratie française,CAVADA,42520.0,LDD,Liste divers droite,LECONTE,12463.0,LDD,Liste divers droite,ABITBOL,5981.0,LDD,Liste divers droite,SCHEIWILLER,3.0,LFN,Liste du Front national,MARTINEZ,24888.0,LXD,Liste d'extrême droite,SOUVILLE,831.0,,,,,,,,
32,GERS,137606,70595,67011,3463,63548,LXG,Liste d'extrême gauche,CHEVALIER,527,LXG,Liste d'extrême gauche,KRIVINE,1422,LPC,Liste du Parti communiste,POLO,3355,LPS,Liste du Parti socialiste,ARIF,21846,LVE,Liste des Verts,ONESTA,4509,LRG,Liste régionaliste,LACOUR,309,LRG,Liste régionaliste,LACO,7,LCP,Liste Chasse-Pêche-Nature et Traditions,LAFITTE,2864,LDV,Liste Divers,SALADIN,5,LDV,Liste Divers,LANGHI,126,LDV,Liste Divers,PATRY,189,LDV,Liste Divers,MANSOURI,6,LDV,Liste Divers,BOYER,7,LDV,Liste Divers,JOUBERT,0,LDV,Liste Divers,SORDES,1,LDV,Liste Divers,CISSE,0.0,LDV,Liste Divers,BARITEL,0.0,LDV,Liste Divers,GARRIGUES,1065.0,LDV,Liste Divers,ROY,485.0,LUMP,Liste Union pour un mouvement populaire,LAMASSOURE,9056.0,LUDF,Liste Union pour la démocratie française,CAVADA,8371.0,LDD,Liste divers droite,LECONTE,3475.0,LDD,Liste divers droite,ABITBOL,1377.0,LDD,Liste divers droite,SCHEIWILLER,0.0,LFN,Liste du Front national,MARTINEZ,4352.0,LXD,Liste d'extrême droite,SOUVILLE,194.0,,,,,,,,
33,GIRONDE,886427,495595,390832,12426,378406,LXG,Liste d'extrême gauche,CHEVALIER,3159,LXG,Liste d'extrême gauche,KRIVINE,9623,LPC,Liste du Parti communiste,POLO,20307,LPS,Liste du Parti socialiste,ARIF,117956,LVE,Liste des Verts,ONESTA,34446,LRG,Liste régionaliste,LACOUR,1204,LRG,Liste régionaliste,LACO,16,LCP,Liste Chasse-Pêche-Nature et Traditions,LAFITTE,14825,LDV,Liste Divers,SALADIN,79,LDV,Liste Divers,CISSE,395,LDV,Liste Divers,JOUBERT,0,LDV,Liste Divers,SORDES,3,LDV,Liste Divers,BOYER,51,LDV,Liste Divers,MANSOURI,14,LDV,Liste Divers,ROY,3149,LDV,Liste Divers,GARRIGUES,5784.0,LDV,Liste Divers,PATRY,28.0,LDV,Liste Divers,BARITEL,4.0,LDV,Liste Divers,LANGHI,566.0,LUMP,Liste Union pour un mouvement populaire,LAMASSOURE,61437.0,LUDF,Liste Union pour la démocratie française,CAVADA,50358.0,LDD,Liste divers droite,LECONTE,17367.0,LDD,Liste divers droite,ABITBOL,6199.0,LDD,Liste divers droite,SCHEIWILLER,2.0,LFN,Liste du Front national,MARTINEZ,30363.0,LXD,Liste d'extrême droite,SOUVILLE,1071.0,,,,,,,,
