Code du département,Libellé du département,Inscrits,Abstentions,Votants,Blancs et nuls,Exprimés,Nuance Liste,Libellé Abrégé Liste,Nom Tête de Liste,Voix,Nuance Liste.1,Libellé Abrégé Liste.1,Nom Tête de Liste.1,Voix.1,Nuance Liste.2,Libellé Abrégé Liste.2,Nom Tête de Liste.2,Voix.2,Nuance Liste.3,Libellé Abrégé Liste.3,Nom Tête de Liste.3,Voix.3,Nuance Liste.4,Libellé Abrégé Liste.4,Nom Tête de Liste.4,Voix.4,Nuance Liste.5,Libellé Abrégé Liste.5,Nom Tête de Liste.5,Voix.5,Nuance Liste.6,Libellé Abrégé Liste.6,Nom Tête de Liste.6,Voix.6,Nuance Liste.7,Libellé Abrégé Liste.7,Nom Tête de Liste.7,Voix.7,Nuance Liste.8,Libellé Abrégé Liste.8,Nom Tête de Liste.8,Voix.8,Nuance Liste.9,Libellé Abrégé Liste.9,Nom Tête de Liste.9,Voix.9,Nuance Liste.10,Libellé Abrégé Liste.10,Nom Tête de Liste.10,Voix.10,Nuance Liste.11,Libellé Abrégé Liste.11,Nom Tête de Liste.11,Voix.11,Nuance Liste.12,Libellé Abrégé Liste.12,Nom Tête de Liste.12,Voix.12,Nuance Liste.13,Libellé Abrégé Liste.13,Nom Tête de Liste.13,Voix.13,Nuance Liste.14,Libellé Abrégé Liste.14,Nom Tête de Liste.14,Voix.14,Nuance Liste.15,Libellé Abrégé Liste.15,Nom Tête de Liste.15,Voix.15,Nuance Liste.16,Libellé Abrégé Liste.16,Nom Tête de Liste.16,Voix.16,Nuance Liste.17,Libellé Abrégé Liste.17,Nom Tête de Liste.17,Voix.17,Nuance Liste.18,Libellé Abrégé Liste.18,Nom Tête de Liste.18,Voix.18,Nuance Liste.19,Libellé Abrégé Liste.19,Nom Tête de Liste.19,Voix.19,Nuance Liste.20,Libellé Abrégé Liste.20,Nom Tête de Liste.20,Voix.20,Nuance Liste.21,Libellé Abrégé Liste.21,Nom Tête de Liste.21,Voix.21,Nuance Liste.22,Libellé Abrégé Liste.22,Nom Tête de Liste.22,Voix.22,Nuance Liste.23,Libellé Abrégé Liste.23,Nom Tête de Liste.23,Voix.23,Nuance Liste.24,Libellé Abrégé Liste.24,Nom Tête de Liste.24,Voix.24,Nuance Liste.25,Libellé Abrégé Liste.25,Nom Tête de Liste.25,Voix.25,Nuance Liste.26,Libellé Abrégé Liste.26,Nom Tête de Liste.26,Voix.26,Nuance Liste.27,Libellé Abrégé Liste.27,Nom Tête de Liste.27,Voix.27
34,HERAULT,655213,376082,279131,10261,268870,LXG,Liste d'extrême gauche,CHEVALIER,2246,LXG,Liste d'extrême gauche,KRIVINE,7810,LPC,Liste du Parti communiste,POLO,20452,LPS,Liste du Parti socialiste,ARIF,72569,LVE,Liste des Verts,ONESTA,25268,LRG,Liste régionaliste,LACOUR,1009,LRG,Liste régionaliste,LACO,4,LCP,Liste Chasse-Pêche-Nature et Traditions,LAFITTE,8332,LDV,Liste Divers,SALADIN,644,LDV,Liste Divers,GARRIGUES,4106,LDV,Liste Divers,BARITEL,0,LDV,Liste Divers,CISSE,0,LDV,Liste Divers,JOUBERT,0,LDV,Liste Divers,SORDES,0,LDV,Liste Divers,BOYER,6,LDV,Liste Divers,MANSOURI,3.0,LDV,Liste Divers,PATRY,41.0,LDV,Liste Divers,LANGHI,323.0,LDV,Liste Divers,ROY,2061.0,LUMP,Liste Union pour un mouvement populaire,LAMASSOURE,38893.0,LUDF,Liste Union pour la démocratie française,CAVADA,30996.0,LDD,Liste divers droite,LECONTE,14251.0,LDD,Liste divers droite,ABITBOL,6093.0,LDD,Liste divers droite,SCHEIWILLER,0.0,LFN,Liste du Front national,MARTINEZ,32655.0,LXD,Liste d'extrême droite,SOUVILLE,1108.0,,,,,,,,
35,ILLE ET VILAINE,626505,339376,287129,8293,278836,LXG,Liste d'extrême gauche,DEFRANCE,6979,LXG,Liste d'extrême gauche,LE PIVERT,2059,LPC,Liste du Parti communiste,LE HYARIC,9062,LPS,Liste du Parti socialiste,POIGNANT,88060,LVE,Liste des Verts,AUBERT,26931,LDG,Liste divers gauche,LE GUEN,8083,LCP,Liste Chasse-Pêche-Nature et Traditions,SANCHEZ,4203,LDV,Liste Divers,REY-ROBERT,3714,LDV,Liste Divers,BIDOU,376,LDV,Liste Divers,GUILLEMIN-LUGUE,371,LDV,Liste Divers,DOIMI DE FRANKOPAN,22,LDV,Liste Divers,RESTIER,7,LDV,Liste Divers,LE TALLEC,37,LDV,Liste Divers,BOLEN,2039,LDV,Liste Divers,CLOPEAU,560,LUMP,Liste Union pour un mouvement populaire,BACHELOT,37338.0,LUDF,Liste Union pour la démocratie française,MORILLON,41617.0,LDD,Liste divers droite,HUNAULT,9885.0,LDD,Liste divers droite,VILLIERS DE,23305.0,LDD,Liste divers droite,MONTENOT,9.0,LFN,Liste du Front national,MARECHAL,14179.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,INDRE,176472,94965,81507,3996,77511,LXG,Liste d'extrême gauche,MAILLOT,727,LXG,Liste d'extrême gauche,LECLERC,2011,LPC,Liste du Parti communiste,GENESTE,3884,LPS,Liste du Parti socialiste,GUY-QUINT,27175,LVE,Liste des Verts,NORMAND,3786,LCP,Liste Chasse-Pêche-Nature et Traditions,LAVERGNE,2228,LDV,Liste Divers,TONNIEAU,139,LDV,Liste Divers,GAUDRY,173,LDV,Liste Divers,VELASQUE,1509,LDV,Liste Divers,MORGILLO,0,LDV,Liste Divers,VILLELE DE ,7,LDV,Liste Divers,TALON,1085,LUMP,Liste Union pour un mouvement populaire,HORTEFEUX,13177,LUDF,Liste Union pour la démocratie française,FOURTOU,7022,LDD,Liste divers droite,PELTIER,5808,LDD,Liste divers droite,LE BAUZEC,1.0,LFN,Liste du Front national,VERDON,8493.0,LXD,Liste d'extrême droite,JAFFRES,286.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,INDRE ET LOIRE ,378853,208795,170058,5500,164558,LXG,Liste d'extrême gauche,MAILLOT,1686,LXG,Liste d'extrême gauche,LECLERC,4822,LPC,Liste du Parti communiste,GENESTE,7810,LPS,Liste du Parti socialiste,GUY-QUINT,49461,LVE,Liste des Verts,NORMAND,12131,LCP,Liste Chasse-Pêche-Nature et Traditions,LAVERGNE,3030,LDV,Liste Divers,TONNIEAU,290,LDV,Liste Divers,MORGILLO,19,LDV,Liste Divers,VELASQUE,3084,LDV,Liste Divers,GAUDRY,341,LDV,Liste Divers,TALON,1776,LDV,Liste Divers,VILLELE DE ,62,LUMP,Liste Union pour un mouvement populaire,HORTEFEUX,32680,LUDF,Liste Union pour la démocratie française,FOURTOU,17024,LDD,Liste divers droite,PELTIER,14183,LDD,Liste divers droite,LE BAUZEC,0.0,LFN,Liste du Front national,VERDON,15547.0,LXD,Liste d'extrême droite,JAFFRES,612.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,ISERE,730711,430935,299776,7194,292582,LXG,Liste d'extrême gauche,MIRGUET,1992,LXG,Liste d'extrême gauche,VACHETTA,9052,LPC,Liste du Parti communiste,GOMEZ,15022,LPS,Liste du Parti socialiste,ROCARD,97469,LVE,Liste des Verts,BENNAHMIAS,30358,LRG,Liste régionaliste,ANTHOINE,10,LCP,Liste Chasse-Pêche-Nature et Traditions,VIDAL-DAUMAS,3913,LDV,Liste Divers,GOVERNATORI,4580,LDV,Liste Divers,GARINO,161,LDV,Liste Divers,AUDIC,67,LDV,Liste Divers,FRAYSSE ,45,LDV,Liste Divers,KERDO,11,LDV,Liste Divers,SANMARTIN,17,LDV,Liste Divers,LAURELLI,416,LDV,Liste Divers,DELAGE,2615,LUMP,Liste Union pour un mouvement populaire,GROSSETETE,43818.0,LUDF,Liste Union pour la démocratie française,CORNILLET,34324.0,LDD,Liste divers droite,MARCHIANI,4846.0,LDD,Liste divers droite,LOUIS,15246.0,LDD,Liste divers droite,LALLOUETTE,7.0,LFN,Liste du Front national,LE PEN,27654.0,LXD,Liste d'extrême droite,VAUZELLE,959.0,,,,,,,,,,,,,,,,,,,,,,,,
39,JURA,181993,98464,83529,2978,80551,LXG,Liste d'extrême gauche,HOFFMANN,692,LXG,Liste d'extrême gauche,NIMSGERN,1999,LPC,Liste du Parti communiste,POURRE,2967,LPS,Liste du Parti socialiste,MOSCOVICI,23079,LVE,Liste des Verts,ISLER-BEGUIN,5644,LEC,Liste écologiste,WAECHTER,2306,LDV,Liste Divers,MERCK,1328,LDV,Liste Divers,MARCINEK,1867,LDV,Liste Divers,ROHER ,697,LDV,Liste Divers,PICO,15,LDV,Liste Divers,LAMBEAUX,1,LDV,Liste Divers,ETIENNE,101,LDV,Liste Divers,ALLENBACH,11,LDV,Liste Divers,SCHMITT,240,LUMP,Liste Union pour un mouvement populaire,DAUL,13302,LUDF,Liste Union pour la démocratie française,GRIESBECK,7852.0,LDD,Liste divers droite,MONZANI,1222.0,LDD,Liste divers droite,MILLET,8183.0,LFN,Liste du Front national,GOLLNISCH,8657.0,LXD,Liste d'extrême droite,MEGRET,388.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,LANDES,265674,142393,123281,5277,118004,LXG,Liste d'extrême gauche,CHEVALIER,837,LXG,Liste d'extrême gauche,KRIVINE,2377,LPC,Liste du Parti communiste,POLO,7346,LPS,Liste du Parti socialiste,ARIF,42379,LVE,Liste des Verts,ONESTA,6428,LRG,Liste régionaliste,LACOUR,573,LRG,Liste régionaliste,LACO,14,LCP,Liste Chasse-Pêche-Nature et Traditions,LAFITTE,7240,LDV,Liste Divers,SALADIN,7,LDV,Liste Divers,LANGHI,217,LDV,Liste Divers,PATRY,9,LDV,Liste Divers,MANSOURI,6,LDV,Liste Divers,BOYER,8,LDV,Liste Divers,JOUBERT,0,LDV,Liste Divers,SORDES,2,LDV,Liste Divers,CISSE,0.0,LDV,Liste Divers,BARITEL,0.0,LDV,Liste Divers,GARRIGUES,1809.0,LDV,Liste Divers,ROY,1109.0,LUMP,Liste Union pour un mouvement populaire,LAMASSOURE,18724.0,LUDF,Liste Union pour la démocratie française,CAVADA,15771.0,LDD,Liste divers droite,LECONTE,4546.0,LDD,Liste divers droite,ABITBOL,1770.0,LDD,Liste divers droite,SCHEIWILLER,0.0,LFN,Liste du Front national,MARTINEZ,6532.0,LXD,Liste d'extrême droite,SOUVILLE,300.0,,,,,,,,
41,LOIR ET CHER,233798,127963,105835,4192,101643,LXG,Liste d'extrême gauche,MAILLOT,956,LXG,Liste d'extrême gauche,LECLERC,2608,LPC,Liste du Parti communiste,GENESTE,4417,LPS,Liste du Parti socialiste,GUY-QUINT,27563,LVE,Liste des Verts,NORMAND,6435,LCP,Liste Chasse-Pêche-Nature et Traditions,LAVERGNE,3036,LDV,Liste Divers,TONNIEAU,180,LDV,Liste Divers,VILLELE DE ,9,LDV,Liste Divers,MORGILLO,5,LDV,Liste Divers,GAUDRY,232,LDV,Liste Divers,VELASQUE,1948,LDV,Liste Divers,TALON,1090,LUMP,Liste Union pour un mouvement populaire,HORTEFEUX,17280,LUDF,Liste Union pour la démocratie française,FOURTOU,12918,LDD,Liste divers droite,PELTIER,9146,LDD,Liste divers droite,LE BAUZEC,1.0,LFN,Liste du Front national,VERDON,13345.0,LXD,Liste d'extrême droite,JAFFRES,474.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,LOIRE,487900,291570,196330,5987,190343,LXG,Liste d'extrême gauche,MIRGUET,1497,LXG,Liste d'extrême gauche,VACHETTA,5039,LPC,Liste du Parti communiste,GOMEZ,8993,LPS,Liste du Parti socialiste,ROCARD,57229,LVE,Liste des Verts,BENNAHMIAS,13532,LRG,Liste régionaliste,ANTHOINE,0,LCP,Liste Chasse-Pêche-Nature et Traditions,VIDAL-DAUMAS,2741,LDV,Liste Divers,GOVERNATORI,3153,LDV,Liste Divers,DELAGE,1843,LDV,Liste Divers,LAURELLI,0,LDV,Liste Divers,SANMARTIN,3,LDV,Liste Divers,KERDO,38,LDV,Liste Divers,FRAYSSE ,0,LDV,Liste Divers,AUDIC,0,LDV,Liste Divers,GARINO,86,LUMP,Liste Union pour un mouvement populaire,GROSSETETE,37267.0,LUDF,Liste Union pour la démocratie française,CORNILLET,21785.0,LDD,Liste divers droite,MARCHIANI,3698.0,LDD,Liste divers droite,LOUIS,11489.0,LDD,Liste divers droite,LALLOUETTE,1.0,LFN,Liste du Front national,LE PEN,21138.0,LXD,Liste d'extrême droite,VAUZELLE,811.0,,,,,,,,,,,,,,,,,,,,,,,,
43,HAUTE LOIRE,168410,93529,74881,3709,71172,LXG,Liste d'extrême gauche,MAILLOT,744,LXG,Liste d'extrême gauche,LECLERC,1936,LPC,Liste du Parti communiste,GENESTE,2739,LPS,Liste du Parti socialiste,GUY-QUINT,19785,LVE,Liste des Verts,NORMAND,4921,LCP,Liste Chasse-Pêche-Nature et Traditions,LAVERGNE,1358,LDV,Liste Divers,TONNIEAU,105,LDV,Liste Divers,MORGILLO,8,LDV,Liste Divers,VELASQUE,1240,LDV,Liste Divers,GAUDRY,148,LDV,Liste Divers,TALON,780,LDV,Liste Divers,VILLELE DE ,15,LUMP,Liste Union pour un mouvement populaire,HORTEFEUX,18479,LUDF,Liste Union pour la démocratie française,FOURTOU,7451,LDD,Liste divers droite,PELTIER,3698,LDD,Liste divers droite,LE BAUZEC,2.0,LFN,Liste du Front national,VERDON,7422.0,LXD,Liste d'extrême droite,JAFFRES,341.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,LOIRE ATLANTIQUE,840914,454669,386245,9344,376901,LXG,Liste d'extrême gauche,DEFRANCE,9000,LXG,Liste d'extrême gauche,LE PIVERT,2260,LPC,Liste du Parti communiste,LE HYARIC,14011,LPS,Liste du Parti socialiste,POIGNANT,125095,LVE,Liste des Verts,AUBERT,34436,LDG,Liste divers gauche,LE GUEN,6952,LCP,Liste Chasse-Pêche-Nature et Traditions,SANCHEZ,8330,LDV,Liste Divers,REY-ROBERT,4413,LDV,Liste Divers,CLOPEAU,578,LDV,Liste Divers,GUILLEMIN-LUGUE,232,LDV,Liste Divers,DOIMI DE FRANKOPAN,331,LDV,Liste Divers,RESTIER,4,LDV,Liste Divers,LE TALLEC,84,LDV,Liste Divers,BIDOU,342,LDV,Liste Divers,BOLEN,2561,LUMP,Liste Union pour un mouvement populaire,BACHELOT,44134.0,LUDF,Liste Union pour la démocratie française,MORILLON,38943.0,LDD,Liste divers droite,HUNAULT,23628.0,LDD,Liste divers droite,VILLIERS DE,43677.0,LDD,Liste divers droite,MONTENOT,7.0,LFN,Liste du Front national,MARECHAL,17883.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,LOIRET,414027,230652,183375,5907,177468,LXG,Liste d'extrême gauche,MAILLOT,1439,LXG,Liste d'extrême gauche,LECLERC,3996,LPC,Liste du Parti communiste,GENESTE,7899,LPS,Liste du Parti socialiste,GUY-QUINT,47104,LVE,Liste des Verts,NORMAND,12386,LCP,Liste Chasse-Pêche-Nature et Traditions,LAVERGNE,4902,LDV,Liste Divers,TONNIEAU,307,LDV,Liste Divers,TALON,1890,LDV,Liste Divers,GAUDRY,432,LDV,Liste Divers,VELASQUE,3496,LDV,Liste Divers,MORGILLO,4,LDV,Liste Divers,VILLELE DE ,32,LUMP,Liste Union pour un mouvement populaire,HORTEFEUX,36289,LUDF,Liste Union pour la démocratie française,FOURTOU,20698,LDD,Liste divers droite,PELTIER,13647,LDD,Liste divers droite,LE BAUZEC,0.0,LFN,Liste du Front national,VERDON,22165.0,LXD,Liste d'extrême droite,JAFFRES,782.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,LOT,129883,63801,66082,3676,62406,LXG,Liste d'extrême gauche,CHEVALIER,541,LXG,Liste d'extrême gauche,KRIVINE,1757,LPC,Liste du Parti communiste,POLO,4170,LPS,Liste du Parti socialiste,ARIF,20897,LVE,Liste des Verts,ONESTA,5433,LRG,Liste régionaliste,LACOUR,206,LRG,Liste régionaliste,LACO,2,LCP,Liste Chasse-Pêche-Nature et Traditions,LAFITTE,2610,LDV,Liste Divers,SALADIN,4,LDV,Liste Divers,ROY,580,LDV,Liste Divers,LANGHI,93,LDV,Liste Divers,PATRY,15,LDV,Liste Divers,MANSOURI,0,LDV,Liste Divers,BOYER,10,LDV,Liste Divers,JOUBERT,0,LDV,Liste Divers,SORDES,0.0,LDV,Liste Divers,CISSE,0.0,LDV,Liste Divers,BARITEL,1.0,LDV,Liste Divers,GARRIGUES,1225.0,LUMP,Liste Union pour un mouvement populaire,LAMASSOURE,9319.0,LUDF,Liste Union pour la démocratie française,CAVADA,7611.0,LDD,Liste divers droite,LECONTE,2772.0,LDD,Liste divers droite,ABITBOL,1396.0,LDD,Liste divers droite,SCHEIWILLER,0.0,LFN,Liste du Front national,MARTINEZ,3591.0,LXD,Liste d'extrême droite,SOUVILLE,173.0,,,,,,,,
47,LOT ET GARONNE ,231470,123401,108069,5169,102900,LXG,Liste d'extrême gauche,CHEVALIER,885,LXG,Liste d'extrême gauche,KRIVINE,2391,LPC,Liste du Parti communiste,POLO,6641,LPS,Liste du Parti socialiste,ARIF,27253,LVE,Liste des Verts,ONESTA,6856,LRG,Liste régionaliste,LACOUR,397,LRG,Liste régionaliste,LACO,3,LCP,Liste Chasse-Pêche-Nature et Traditions,LAFITTE,4463,LDV,Liste Divers,SALADIN,35,LDV,Liste Divers,ROY,991,LDV,Liste Divers,GARRIGUES,1907,LDV,Liste Divers,BARITEL,0,LDV,Liste Divers,CISSE,0,LDV,Liste Divers,SORDES,0,LDV,Liste Divers,JOUBERT,1,LDV,Liste Divers,BOYER,16.0,LDV,Liste Divers,MANSOURI,2.0,LDV,Liste Divers,PATRY,7.0,LDV,Liste Divers,LANGHI,211.0,LUMP,Liste Union pour un mouvement populaire,LAMASSOURE,13682.0,LUDF,Liste Union pour la démocratie française,CAVADA,16202.0,LDD,Liste divers droite,LECONTE,6125.0,LDD,Liste divers droite,ABITBOL,2115.0,LDD,Liste divers droite,SCHEIWILLER,1.0,LFN,Liste du Front national,MARTINEZ,12325.0,LXD,Liste d'extrême droite,SOUVILLE,391.0,,,,,,,,
48,LOZERE,59186,31167,28019,1335,26684,LXG,Liste d'extrême gauche,CHEVALIER,180,LXG,Liste d'extrême gauche,KRIVINE,694,LPC,Liste du Parti communiste,POLO,1513,LPS,Liste du Parti socialiste,ARIF,5879,LVE,Liste des Verts,ONESTA,2066,LRG,Liste régionaliste,LACOUR,81,LRG,Liste régionaliste,LACO,1,LCP,Liste Chasse-Pêche-Nature et Traditions,LAFITTE,910,LDV,Liste Divers,SALADIN,16,LDV,Liste Divers,BARITEL,0,LDV,Liste Divers,CISSE,0,LDV,Liste Divers,JOUBERT,0,LDV,Liste Divers,SORDES,0,LDV,Liste Divers,BOYER,0,LDV,Liste Divers,MANSOURI,0,LDV,Liste Divers,PATRY,0.0,LDV,Liste Divers,ROY,204.0,LDV,Liste Divers,LANGHI,37.0,LDV,Liste Divers,GARRIGUES,477.0,LUMP,Liste Union pour un mouvement populaire,LAMASSOURE,6053.0,LUDF,Liste Union pour la démocratie française,CAVADA,4577.0,LDD,Liste divers droite,LECONTE,1289.0,LDD,Liste divers droite,ABITBOL,873.0,LDD,Liste divers droite,SCHEIWILLER,0.0,LFN,Liste du Front national,MARTINEZ,1760.0,LXD,Liste d'extrême droite,SOUVILLE,74.0,,,,,,,,
49,MAINE ET LOIRE ,518796,289686,229110,8502,220608,LXG,Liste d'extrême gauche,DEFRANCE,4834,LXG,Liste d'extrême gauche,LE PIVERT,1669,LPC,Liste du Parti communiste,LE HYARIC,6705,LPS,Liste du Parti socialiste,POIGNANT,57133,LVE,Liste des Verts,AUBERT,17126,LDG,Liste divers gauche,LE GUEN,3206,LCP,Liste Chasse-Pêche-Nature et Traditions,SANCHEZ,3835,LDV,Liste Divers,REY-ROBERT,3284,LDV,Liste Divers,BIDOU,282,LDV,Liste Divers,LE TALLEC,22,LDV,Liste Divers,RESTIER,2,LDV,Liste Divers,DOIMI DE FRANKOPAN,19,LDV,Liste Divers,GUILLEMIN-LUGUE,2,LDV,Liste Divers,CLOPEAU,433,LDV,Liste Divers,BOLEN,1808,LUMP,Liste Union pour un mouvement populaire,BACHELOT,44854.0,LUDF,Liste Union pour la démocratie française,MORILLON,29157.0,LDD,Liste divers droite,HUNAULT,4658.0,LDD,Liste divers droite,VILLIERS DE,29213.0,LDD,Liste divers droite,MONTENOT,0.0,LFN,Liste du Front national,MARECHAL,12366.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,MANCHE,360120,210790,149330,5496,143834,LXG,Liste d'extrême gauche,REITZMAN,1404,LXG,Liste d'extrême gauche,BAUDRIN,4007,LPC,Liste du Parti communiste,HENIN,3460,LPS,Liste du Parti socialiste,WEBER,39688,LVE,Liste des Verts,FLAUTRE,9292,LDG,Liste divers gauche,DUQUENNE,1354,LCP,Liste Chasse-Pêche-Nature et Traditions,VERGY,7095,LDV,Liste Divers,HUGON,37,LDV,Liste Divers,KURZYK,1757,LDV,Liste Divers,GERNIGON,8,LDV,Liste Divers,AUGER,0,LDV,Liste Divers,VAN OMMESLAEGHE,21,LDV,Liste Divers,PACAUD,333,LDV,Liste Divers,SUEUR,2601,LUMP,Liste Union pour un mouvement populaire,SAIFI,26171,LUDF,Liste Union pour la démocratie française,BOURLANGES,18769.0,LDD,Liste divers droite,BUTEL,10022.0,LDD,Liste divers droite,HERNU,3803.0,LFN,Liste du Front national,LANG,14012.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,MARNE,373709,226308,147401,4151,143250,LXG,Liste d'extrême gauche,HOFFMANN,1048,LXG,Liste d'extrême gauche,NIMSGERN,3310,LPC,Liste du Parti communiste,POURRE,4764,LPS,Liste du Parti socialiste,MOSCOVICI,39448,LVE,Liste des Verts,ISLER-BEGUIN,7978,LEC,Liste écologiste,WAECHTER,2922,LDV,Liste Divers,MERCK,2352,LDV,Liste Divers,SCHMITT,355,LDV,Liste Divers,MARCINEK,3452,LDV,Liste Divers,ROHER ,1300,LDV,Liste Divers,PICO,19,LDV,Liste Divers,LAMBEAUX,12,LDV,Liste Divers,ETIENNE,287,LDV,Liste Divers,ALLENBACH,39,LUMP,Liste Union pour un mouvement populaire,DAUL,26276,LUDF,Liste Union pour la démocratie française,GRIESBECK,20435.0,LDD,Liste divers droite,MONZANI,2970.0,LDD,Liste divers droite,MILLET,9420.0,LFN,Liste du Front national,GOLLNISCH,16158.0,LXD,Liste d'extrême droite,MEGRET,705.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,HAUTE MARNE,142032,82388,59644,2628,57016,LXG,Liste d'extrême gauche,HOFFMANN,516,LXG,Liste d'extrême gauche,NIMSGERN,1527,LPC,Liste du Parti communiste,POURRE,1661,LPS,Liste du Parti socialiste,MOSCOVICI,15080,LVE,Liste des Verts,ISLER-BEGUIN,2728,LEC,Liste écologiste,WAECHTER,1316,LDV,Liste Divers,MERCK,1053,LDV,Liste Divers,SCHMITT,164,LDV,Liste Divers,ALLENBACH,18,LDV,Liste Divers,ETIENNE,114,LDV,Liste Divers,LAMBEAUX,5,LDV,Liste Divers,PICO,28,LDV,Liste Divers,ROHER ,592,LDV,Liste Divers,MARCINEK,1840,LUMP,Liste Union pour un mouvement populaire,DAUL,11132,LUDF,Liste Union pour la démocratie française,GRIESBECK,5646.0,LDD,Liste divers droite,MONZANI,1260.0,LDD,Liste divers droite,MILLET,3428.0,LFN,Liste du Front national,GOLLNISCH,8538.0,LXD,Liste d'extrême droite,MEGRET,370.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,MAYENNE,215031,123500,91531,4856,86675,LXG,Liste d'extrême gauche,DEFRANCE,1875,LXG,Liste d'extrême gauche,LE PIVERT,837,LPC,Liste du Parti communiste,LE HYARIC,2329,LPS,Liste du Parti socialiste,POIGNANT,22420,LVE,Liste des Verts,AUBERT,6575,LDG,Liste divers gauche,LE GUEN,1326,LCP,Liste Chasse-Pêche-Nature et Traditions,SANCHEZ,1367,LDV,Liste Divers,REY-ROBERT,385,LDV,Liste Divers,BIDOU,148,LDV,Liste Divers,LE TALLEC,5,LDV,Liste Divers,RESTIER,1,LDV,Liste Divers,DOIMI DE FRANKOPAN,161,LDV,Liste Divers,GUILLEMIN-LUGUE,0,LDV,Liste Divers,CLOPEAU,150,LDV,Liste Divers,BOLEN,1067,LUMP,Liste Union pour un mouvement populaire,BACHELOT,12275.0,LUDF,Liste Union pour la démocratie française,MORILLON,15008.0,LDD,Liste divers droite,HUNAULT,4143.0,LDD,Liste divers droite,VILLIERS DE,11935.0,LDD,Liste divers droite,MONTENOT,2.0,LFN,Liste du Front national,MARECHAL,4666.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,MEURTHE ET MOSELLE,475140,281984,193156,5864,187292,LXG,Liste d'extrême gauche,HOFFMANN,1613,LXG,Liste d'extrême gauche,NIMSGERN,5755,LPC,Liste du Parti communiste,POURRE,8679,LPS,Liste du Parti socialiste,MOSCOVICI,60234,LVE,Liste des Verts,ISLER-BEGUIN,12190,LEC,Liste écologiste,WAECHTER,4109,LDV,Liste Divers,MERCK,3374,LDV,Liste Divers,SCHMITT,514,LDV,Liste Divers,MARCINEK,3978,LDV,Liste Divers,ROHER ,1741,LDV,Liste Divers,PICO,1,LDV,Liste Divers,LAMBEAUX,21,LDV,Liste Divers,ETIENNE,4,LDV,Liste Divers,ALLENBACH,16,LUMP,Liste Union pour un mouvement populaire,DAUL,28003,LUDF,Liste Union pour la démocratie française,GRIESBECK,22081.0,LDD,Liste divers droite,MONZANI,3122.0,LDD,Liste divers droite,MILLET,11129.0,LFN,Liste du Front national,GOLLNISCH,19507.0,LXD,Liste d'extrême droite,MEGRET,1221.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,MEUSE,139253,79140,60113,2513,57600,LXG,Liste d'extrême gauche,HOFFMANN,508,LXG,Liste d'extrême gauche,NIMSGERN,1397,LPC,Liste du Parti communiste,POURRE,1326,LPS,Liste du Parti socialiste,MOSCOVICI,16266,LVE,Liste des Verts,ISLER-BEGUIN,3117,LEC,Liste écologiste,WAECHTER,1346,LDV,Liste Divers,MERCK,1120,LDV,Liste Divers,SCHMITT,145,LDV,Liste Divers,ALLENBACH,3,LDV,Liste Divers,ETIENNE,156,LDV,Liste Divers,LAMBEAUX,4,LDV,Liste Divers,PICO,23,LDV,Liste Divers,ROHER ,618,LDV,Liste Divers,MARCINEK,2143,LUMP,Liste Union pour un mouvement populaire,DAUL,8591,LUDF,Liste Union pour la démocratie française,GRIESBECK,7563.0,LDD,Liste divers droite,MONZANI,1163.0,LDD,Liste divers droite,MILLET,3884.0,LFN,Liste du Front national,GOLLNISCH,7835.0,LXD,Liste d'extrême droite,MEGRET,392.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
